Date,USD (PM),USD (PM) Predictions
24/5/2023,1969.65,1974.670444
25/5/2023,1948.25,1960.186195
26/5/2023,1947.9,1951.395754
30/5/2023,1952.45,1947.400099
31/5/2023,1964.4,1956.88978
1/6/2023,1974.35,1956.640051
2/6/2023,1963.25,1978.865882
5/6/2023,1959.65,1940.407703
6/6/2023,1957.25,1959.78663
7/6/2023,1967.35,1960.935381
8/6/2023,1966.4,1945.152544
9/6/2023,1960.3,1961.434837
12/6/2023,1952.9,1962.034186
13/6/2023,1954.4,1961.884349
14/6/2023,1955.8,1949.797492
15/6/2023,1952.35,1932.56623
16/6/2023,1959.75,1961.98424
19/6/2023,1951.15,1952.244831
20/6/2023,1930.45,1951.745374
21/6/2023,1925.65,1933.165579
22/6/2023,1920.05,1925.873508
23/6/2023,1930.7,1917.28285
26/6/2023,1922.9,1928.470684
27/6/2023,1918.9,1921.877853
28/6/2023,1908.4,1907.79317
29/6/2023,1899.6,1901.99947
30/6/2023,1912.25,1901.500013
3/7/2023,1928.75,1911.688933
4/7/2023,1927.75,1927.671553
5/7/2023,1924.65,1926.223128
6/7/2023,1908.8,1917.083067
7/7/2023,1922.3,1913.586869
10/7/2023,1922.8,1922.976659
11/7/2023,1933.95,1934.114547
12/7/2023,1953.3,1933.665036
13/7/2023,1958.05,1957.489128
14/7/2023,1953.7,1954.392496
17/7/2023,1949.6,1952.944071
18/7/2023,1975,1959.836575
19/7/2023,1975.35,1976.018978
20/7/2023,1976.1,1979.365339
21/7/2023,1960.6,1961.684566
24/7/2023,1960,1962.633534
25/7/2023,1958.7,1960.985326
26/7/2023,1966.3,1969.875658
27/7/2023,1945.35,1973.072182
28/7/2023,1954.25,1948.049393
31/7/2023,1970.65,1953.443528
1/8/2023,1947.2,1954.642224
2/8/2023,1944.2,1947.599882
3/8/2023,1935.65,1934.813786
4/8/2023,1942.45,1931.916936
7/8/2023,1931.7,1934.813786
8/8/2023,1926.4,1932.716067
9/8/2023,1922.75,1926.32302
10/8/2023,1920.9,1918.032036
11/8/2023,1915.8,1915.984262
14/8/2023,1903.75,1911.439205
15/8/2023,1903.85,1902.049416
16/8/2023,1904.2,1904.746483
17/8/2023,1896.35,1891.910441
18/8/2023,1893.7,1889.712831
21/8/2023,1889.85,1888.064623
22/8/2023,1892.75,1899.80186
23/8/2023,1916.65,1902.498927
24/8/2023,1917.05,1918.631384
25/8/2023,1915.5,1915.78448
29/8/2023,1930,1921.428342
30/8/2023,1947.55,1936.262211
31/8/2023,1942.3,1942.105857
1/9/2023,1940.55,1942.205748
4/9/2023,1937.2,1939.958192
5/9/2023,1926.1,1929.719326
6/9/2023,1922.05,1921.378397
7/9/2023,1918.35,1917.782307
8/9/2023,1927.8,1923.476115
11/9/2023,1924.95,1924.524975
12/9/2023,1908.55,1916.833339
13/9/2023,1913.8,1910.090671
14/9/2023,1901.75,1904.396863
15/9/2023,1927.7,1916.633556
18/9/2023,1923.5,1924.325192
19/9/2023,1934.9,1932.91585
20/9/2023,1943.35,1928.071119
21/9/2023,1915,1921.328451
22/9/2023,1927.35,1924.125409
25/9/2023,1924.85,1920.479374
26/9/2023,1907.05,1910.240508
27/9/2023,1887.3,1893.508703
28/9/2023,1873.55,1872.082004
29/9/2023,1870.5,1869.584719
2/10/2023,1833.05,1829.877898
3/10/2023,1822.45,1826.331754
4/10/2023,1818.95,1821.28724
5/10/2023,1819.45,1820.787783
6/10/2023,1819.6,1819.938707
9/10/2023,1845.5,1850.305684
10/10/2023,1857,1857.697646
11/10/2023,1871.25,1867.986457
12/10/2023,1874,1879.124345
13/10/2023,1909.2,1884.967991
